Year,Title,Journal,Authors,Cite,Source
2022,Spontaneous non-Hermiticity in the ()-dimensional Gross-Neveu model,"Physical Review D 105 (2), 025014, 2022","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2022,Electron-positron pairs and radioactive nuclei production by irradiation of high-Z target with \gamma-photon flash generated by an ultra-intense laser in the regime,"arXiv preprint arXiv:2202.12701, 2022","D Kolenatý, P Hadjisolomou, R Versaci, TM Jeong, P Valenta, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:K2oAz6O6UC0C
2022,Quasimonoenergetic Proton Acceleration via Quantum Radiative Compression,"Physical Review Applied 17 (2), 024049, 2022","F Wan, WQ Wang, Q Zhao, H Zhang, TP Yu, WM Wang, WC Yan, YT Zhao, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:0sHf1WQLiqoC
2022,Ultrafast hard X-ray sources based on Relativistic Electrons at ELI Beamlines,"arXiv preprint arXiv:2202.04318, 2022","U Chaulagain, M Lamač, M Raclavský, S Karatodorov, J Nejdl, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:q7xreA_uRSAC
2022,TIME DYNAMICS OF THE DOSE DEPOSITED BY RELATIVISTIC ULTRA-SHORT ELECTRON BEAMS,"Physica Medica: European Journal of Medical Physics 94, S73, 2022","D Horvath, GM Grittani, M Precek, R Versaci, S Bulanov, V Olšovcová",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:g4uJmxMSBJ4C
2022,Gamma-ray flash in the interaction of a tightly focused single-cycle ultra-intense laser pulse with a solid target,"Journal of Plasma Physics 88 (1), 2022","P Hadjisolomou, TM Jeong, P Valenta, D Kolenaty, R Versaci, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:I2ffMtHfj0kC
2022,Discharge plasma formation in square capillary with gas supply channels,"Physical Review Research 4 (1), 013063, 2022","GA Bagdasarov, KO Kruchinin, AY Molodozhentsev, PV Sasorov, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:XenU2NaEi7IC
2022,Laser ion acceleration from tailored solid targets with micron-scale channels,"arXiv preprint arXiv:2201.06549, 2022","KV Lezhnin, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:0VSFeDpNB9YC
2021,Sex influences the brain functional connectivity correlates of originality,"Scientific reports 11 (1), 1-10, 2021","RB Silberstein, DA Camfield",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:lmc2jWPfTJgC
2021,Composite operator approach to dynamical mass generation in the -dimensional Gross–Neveu model,"International Journal of Modern Physics A 36 (31n32), 2150231, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2021,The phase structure of two color QCD and charged pion condensation phenomenon,"arXiv preprint arXiv:2105.05670, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2021,Influence of chiral asymmetry on phase structure of the two-color quark matter,"arXiv preprint arXiv:2105.04952, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4957327371426497354
2021,Quark/hadronic matter and dualities of QCD thermodynamics,"PARTICLE PHYSICS at the Year of 150th Anniversary of the Mendeleev’s …, 2021","TG Khunjua, KG Klimenko, RN Zhokhov",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18290103044328311696
2021,On the electromagnetic-electron rings originating from the interaction of high-power short-pulse laser and underdense plasma,"Physics of Plasmas 28 (12), 122104, 2021","P Valenta, GM Grittani, CM Lazzarini, O Klimo, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:iQx6SG6YqqMC
2021,Relativistic flying laser focus by a laser-produced parabolic plasma mirror,"Physical Review A 104 (5), 053533, 2021","TM Jeong, SV Bulanov, P Valenta, G Korn, TZ Esirkepov, JK Koga, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ZiNMQN0BhcIC
2021,Enhancement of laser-driven ion acceleration by laser pulse shaping via plasma shutter,"Bulletin of the American Physical Society 66, 2021","M Matys, M Kecova, M Kucharik, J Nikl, S Bulanov, M Jirka, P Janecka, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:33QqmnwUl7gC
2021,Laser-generated γ-ray flash interactions with high-Z target study employing Monte Carlo simulations,"Bulletin of the American Physical Society 66, 2021","D Kolenaty, P Hadjisolomou, R Versaci, TM Jeong, P Valenta, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:tVl1pAhtFpIC
2021,On the generation of superluminal or subluminal orbital angular momentum femtosecond laser pulse,"Bulletin of the American Physical Society 66, 2021","TM Jeong, S Bulanov, P Hadjisolomou, T Esirkepov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ZlO_RPzxukQC
2021,Generation of high order harmonics in Heisenberg–Euler electrodynamics,"New Journal of Physics 23 (10), 105003, 2021","PV Sasorov, F Pegoraro, TZ Esirkepov, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Br_elLE5W3EC
2021,Superluminal-subluminal orbital angular momentum femtosecond laser focus,"Optics Express 29 (20), 31665-31679, 2021","TM Jeong, SV Bulanov, P Hadjisolomou, TZ Esirkepov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:N-L-qPymx-IC
2021,Two-color nonlinear resonances in betatron oscillations of laser accelerated relativistic electrons,"Physical Review Research 3 (3), 033088, 2021","M Lamač, U Chaulagain, M Jurkovič, J Nejdl, SV Bulanov",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:L_IB4DdK_bkC
2021,Ultra-strong attosecond laser focus produced by a relativistic-flying parabolic mirror,"International Conference on X-Ray Lasers 2020 11886, 118860H, 2021","TM Jeong, SV Bulanov, P Valenta, G Korn, TZ Esirkepov, JK Koga, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:rNquyMnMTcEC
2021,Dynamic mitigation of the tearing mode instability in a collisionless current sheet,"Scientific Reports 11 (1), 1-8, 2021","YJ Gu, S Kawata, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:AOdiZhSTT2UC
2021,Reaching high laser intensity by a radiating electron,"Physical Review A 103 (5), 053114, 2021","M Jirka, P Sasorov, SS Bulanov, G Korn, B Rus, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:RAZVmZGbs2gC
2021,Nonlinear waves in a dispersive vacuum described with a high order derivative electromagnetic Lagrangian,"Physical Review D 103 (9), 096012, 2021","F Pegoraro, SV Bulanov",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:1eNgJFoK9jQC
2021,Creation of an axially uniform plasma channel in a laser-assisted capillary discharge,"Physics of Plasmas 28 (5), 053104, 2021","GA Bagdasarov, NA Bobrova, OG Olkhovskaya, VA Gasilov, C Benedetti, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:6MG9__aTHiQC
2021,Generation of quasi-monoenergetic proton beams via quantum radiative compression,"arXiv preprint arXiv:2104.14239, 2021","F Wan, WQ Wang, Q Zhao, H Zhang, TP Yu, WM Wang, WC Yan, YT Zhao, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:V4DE3ynkokcC
2021,Dynamics of moving electron vortices and magnetic ring in laser plasma interaction,"Physics of Plasmas 28 (4), 042303, 2021","DN Yue, M Chen, PF Geng, XH Yuan, SM Weng, SS Bulanov, SV Bulanov, ...",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:BuJyUTDevxUC
2021,Ring-shaped electron beams from laser-wakefield accelerator,"Laser Acceleration of Electrons, Protons, and Ions VI 11779, 1177909, 2021","P Valenta, GM Grittani, CM Lazzarini, O Klimo, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:HE2-Ja1nLiQC
2021,Ion acceleration enhancement by laser-pulse shaping via plasma shutter,"Laser Acceleration of Electrons, Protons, and Ions VI 11779, 117790Q, 2021","M Matys, SV Bulanov, M Kecova, M Kucharik, M Jirka, P Janecka, J Psikal, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Zb7uFHg2Uq8C
2021,Laser-driven compact free electron laser: from extreme ultraviolet radiation to x-rays,"High Power Lasers and Applications 11777, 117770N, 2021","A Molodozhentsev, K Kruchinin, GM Grittani, T Green, J Nejdl, DD Mai, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:F2px_MPlIVkC
2021,Gamma-Ray Flash Generation in Irradiating Thin Foil Target by Single Cycle Tightly Focused Extreme Power Laser Pulse,"arXiv preprint arXiv:2103.03744, 2021","P Hadjisolomou, TM Jeong, P Valenta, G Korn, S Bulanov",5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:zBs7CkPFb0QC
2021,Dynamic mitigation of filamentation instability and magnetic reconnection in sheet-current sustained plasma,"arXiv preprint arXiv:2101.07939, 2021","YJ Gu, S Kawata, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:-NJPjLeJGJsC
2021,Extreme Gamma-Ray Flash in the λ3 Regime,"APS Division of Plasma Physics Meeting Abstracts 2021, BP11. 050, 2021","P Hadjisolomou, TM Jeong, P Valenta, D Kolenaty, R Versaci, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:awHEhYZT47wC
2021,Electron Dynamics in the Field of Strong Plasma and Electromagnetic Waves: A Review,"Physics of Wave Phenomena 29 (1), 1-46, 2021",SV Bulanov,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Lhzy3ZptxVQC
2021,Magnetic field annihilation and charged particle acceleration in ultra-relativistic laser plasmas,"High Power Laser Science and Engineering 9, e2, 2021","YJ Gu, SV Bulanov",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:-t9M6LJafnIC
2020,"The Matter of Facts Skepticism, Persuasion, and Evidence in Science by Gareth Leng & Rhodri I. Leng, MIT Press, 2020","Bioelectricity 2 (4), 424-425, 2020",R Silberstein,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:ILKRHgRFtOwC
2020,Conceptual Closure Elicited by Event Boundary Transitions Affects Commercial Communication Effectiveness,"Frontiers in Neuroscience 14, 292, 2020","R Silberstein, S Seixas, G Nield",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:p__nRnzSRKYC
2020,CORRECTION Open Access,unknown,"R Kao, F Priestap, A Donner",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:zLWjf1WUPmwC
2020,"The dual properties of two-color QCD with baryon, chiral and isospin densities","Journal of Physics: Conference Series 1690 (1), 012098, 2020","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2020,Electrical neutrality and [Formula omitted]-equilibrium conditions in dense quark matter: generation of charged pion condensation by chiral imbalance.,"The European Physical Journal C-Particles and Fields 80 (10), NA-NA, 2020","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2020,Electrical neutrality and β -equilibrium conditions in dense quark matter: generation of charged pion condensation by chiral imbalance,"The European Physical Journal C 80 (10), 1-19, 2020","TG Khunjua, KG Klimenko, RN Zhokhov",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11265618151448279914
2020,The dual properties of chiral and isospin asymmetric dense quark matter formed of two-color quarks,"Journal of High Energy Physics 2020 (6), 1-36, 2020","TG Khunjua, KG Klimenko, RN Zhokhov",6,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7147160442958667366
2020,Dense baryonic matter with chiral imbalance and charged pion condensation,"arXiv preprint arXiv:2005.04649, 2020","TG Khunjua, KG Klimenko, RN Zhokhov",,https://scholar.google.com
2020,Dense baryonic matter and applications of QCD phase diagram dualities,"Particles 3 (1), 62-79, 2020","TG Khunjua, KG Klimenko, RN Zhokhov",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3381556211477874812
2020,Laser-driven generation of collimated quasi-monoenergetic proton beam using double-layer target with modulated interface,"High Energy Density Physics 36, 100844, 2020","M Matys, K Nishihara, M Kecova, J Psikal, G Korn, SV Bulanov",7,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:0tsVym51Ka4C
2020,Enhancement of ion energy and flux by the influence of magnetic reconnection in foam targets,"High Energy Density Physics 36, 100840, 2020","DO Golovin, SR Mirfayzi, YJ Gu, Y Abe, Y Honoki, T Mori, H Nagatomo, ...",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:aLuW2LJrqxQC
2020,Observation of Burst Intensification by Singularity Emitting Radiation generated from relativistic plasma with a high-intensity laser,"High Energy Density Physics 36, 100751, 2020","A Sagisaka, K Ogura, TZ Esirkepov, D Neely, TA Pikuz, JK Koga, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:nTyZjEucDncC
2020,Plasma channel formation in the knife-like focus of laser beam,"Journal of Plasma Physics 86 (3), 2020","OG Olkhovskaya, GA Bagdasarov, NA Bobrova, VA Gasilov, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:lf-30W9nveMC
2020,Nonlinear electrodynamics at cylindrical “cumulation” fronts,"Rendiconti Lincei. Scienze Fisiche e Naturali 31 (2), 303-313, 2020","F Pegoraro, SV Bulanov",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:A6St6qvZaPcC
2020,Tomographic reconstruction algorithms for structured gas density profiles of the targets for laser wakefield acceleration,"Measurement Science and Technology 31 (8), 085205, 2020","S Lorenz, G Grittani, LVN Goncalves, CM Lazzarini, J Limpouch, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:CCY0Zhscfv0C
2020,Optical probing of relativistic plasma singularities,"Physics of Plasmas 27 (5), 052103, 2020","TZ Esirkepov, J Mu, Y Gu, TM Jeong, P Valenta, O Klimo, JK Koga, ...",5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ZjliF8eDLGgC
2020,4π-spherically focused electromagnetic wave: diffraction optics approach and high-power limits,"Optics express 28 (9), 13991-14006, 2020","TM Jeong, SV Bulanov, PV Sasorov, SS Bulanov, JK Koga, G Korn",7,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:YaGrn9P4G-YC
2020,Recoil effects on reflection from relativistic mirrors in laser plasmas,"Physics of Plasmas 27 (3), 032109, 2020","P Valenta, TZ Esirkepov, JK Koga, AS Pirozhkov, M Kando, T Kawachi, ...",9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:n1bLpW0qLaEC
2020,Electromagnetic solitons in quantum vacuum,"Physical Review D 101 (1), 016016, 2020","SV Bulanov, PV Sasorov, F Pegoraro, H Kadlecová, SS Bulanov, ...",13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:oG-63-_xH24C
2020,"Nonlinear, nondispersive wave equations: Lagrangian and Hamiltonian functions in the hodograph transformation","Physics Letters A 384 (2), 126064, 2020","F Pegoraro, SV Bulanov",4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:5eHNVgTYnwwC
2020,Preplasma effects on laser ion generation from thin foil targets,"Physics of Plasmas 27 (1), 013107, 2020","P Hadjisolomou, IP Tsygvintsev, P Sasorov, V Gasilov, G Korn, ...",6,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:x0AULgBdw-EC
2020,Laser-plasma experiment at intensities approaching 1022 W/cm2,"日本物理学会講演概要集 75, 555-555, 2020","AS Pirozhkov, T Hayakawa, NP Dover, Y Miyasaka, A Kon, M Nishikino, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:WMXKS7b3b6oC
2020,Towards laser ion acceleration with holed targets,"J. Plasma Phys. 86, 905860304, 2020","P Hadjisolomou, G Korn, SV Bulanov",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ZPyn03lkmQEC
2020,Multiple colliding laser pulses for high intensity particle physics studies.,"APS Division of Plasma Physics Meeting Abstracts 2020, PO03. 004, 2020","S Bulanov, J Magnesson, A Gonoskov, M Marklund, TZ Esirkepov, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:S-fx7PKp8KIC
2020,Annihilation of Magnetic Field in Relativistic Laser-Plasma Interaction and Electromagnetic Burst Generation,"APS Division of Plasma Physics Meeting Abstracts 2020, TP14. 001, 2020","F Pegoraro, YJ Gu, PV Sasorov, D Golovin, A Yogo, G Korn, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:FhYITFoLSqsC
2020,Wave equations in nonlinear quantum electrodynamics,"APS Division of Plasma Physics Meeting Abstracts 2020, GP15. 006, 2020","F Pegoraro, SV Bulanov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:AvsVOL42qi4C
2020,Towards laser intensity calibration using high-field ionization,"Progress in Ultrafast Intense Laser Science XV, 149-176, 2020","MF Ciappina, SV Bulanov, T Ditmire, G Korn, S Weber",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:8KMbq9BiMFwC
2020,Atomic diagnostics of ultrahigh laser intensities,"Journal of Physics: Conference Series 1412 (15), 152001, 2020","MF Ciappina, SV Popruzhenko, G Korn, T Ditmire, SV Bulanov, S Weber",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:mOeHfWVqRE4C
2020,Electron acceleration at ELI-Beamlines: Towards high-energy and high-repetition rate accelerators,"BEAM ACCELERATION IN CRYSTALS AND NANOSTRUCTURES: Proceedings of the …, 2020","CM Lazzarini, LV Goncalves, GM Grittani, S Lorenz, M Nevrkla, P Valenta, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=40&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:lZSosCVXZD8C
2020,Relativistic slingshot: A source for single circularly polarized attosecond x-ray pulses,"Physical Review E 102 (6), 061201, 2020","J Wang, SV Bulanov, M Chen, B Lei, Y Zhang, R Zagidullin, V Zorina, ...",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:MV4THYMqPIkC
2020,Electron-positron pair creation in the electric fields generated by micro-bubble implosions,"Physics Letters A 384 (34), 126854, 2020","JK Koga, M Murakami, AV Arefiev, Y Nakamiya, SS Bulanov, SV Bulanov",8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:PAUcJbK1cpwC
2020,Polarity reversal of wakefields driven by ultrashort pulse laser,"Physical Review E 102 (5), 053216, 2020","P Valenta, TZ Esirkepov, JK Koga, A Nečas, GM Grittani, CM Lazzarini, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:d7h7K-jXHrsC
2020,Magnetohydrodynamic Simulation of Capillary Plasmas,"X-ray Lasers 1996, 197-199, 2020","NA Bobrova, SV Bulanov, D Farina, R Pozzoli, TL Razinkova, PV Sasorov",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:fwqfHYP04hEC
2020,High Power Gamma Flare Generation in Multi-Petawatt Laser-Matter Interaction,"Compact EUV & X-ray Light Sources, EM1A. 2, 2020","SV Bulanov, P Hadjisolomou, DR Khikhlukha, PV Sasorov, O Klimo, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:PIj2AogLmcIC
2020,ELI-ELBA: fundamental science investigations with high power lasers at ELI-Beamlines,"High Intensity Lasers and High Field Phenomena, JM3A. 20, 2020","G Grittani, C Lazzarini, S Lorenz, M Nevrkla, L Vilanova, SV Bulanov, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:ViinYUi30oMC
2020,Relativistic Flying Mirrors as a Compact Source of Coherent Short-Wavelength Radiation,"Compact EUV & X-ray Light Sources, EM1A. 5, 2020","P Valenta, TZ Esirkepov, JK Koga, AS Pirozhkov, M Kando, T Kawachi, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:4ySvW73dVKYC
2020,Relativistic flying forcibly oscillating reflective diffraction grating,"Physical Review E 102 (5), 053202, 2020","J Mu, TZ Esirkepov, P Valenta, Y Gu, TM Jeong, AS Pirozhkov, JK Koga, ...",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Y8mQMzS2lHEC
2020,Generation of megatesla magnetic fields by intense-laser-driven microtube implosions,"Scientific reports 10 (1), 1-11, 2020","M Murakami, JJ Honrubia, K Weichman, AV Arefiev, SV Bulanov",9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:YzDdRQD-RXIC
2020,Photon scattering by a -spherically-focused ultrastrong electromagnetic wave,"Physical Review A 102 (2), 023504, 2020","TM Jeong, SV Bulanov, PV Sasorov, G Korn, JK Koga, SS Bulanov",6,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=20&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:0Io2PRmtRJ0C
2019,Psychological Evaluation and Methods of Use,"US Patent App. 16/535,084, 2019",RB Silberstein,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:BUYA1_V_uYcC
2019,Gender differences in parieto‐frontal brain functional connectivity correlates of creativity,"Brain and Behavior 9 (2), e01196, 2019","R Silberstein, DA Camfield, G Nield, C Stough",8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&sortby=pubdate&citation_for_view=afATWNwAAAAJ:ipzZ9siozwsC
2019,QCD phase diagram with chiral imbalance in NJL model: duality and lattice QCD results,"Journal of Physics: Conference Series 1390 (1), 012015, 2019","TG Khunjua, KG Klimenko, RN Zhokhov",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16219676327996181190
2019,Pion condensation in hot dense quark matter with isospin and chiral-isospin asymmetries within the Nambu—Jona-Lasinio model,"Moscow University Physics Bulletin 74 (5), 473-479, 2019","RN Zhokhov, KG Klimenko, TG Khunjua",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6785923740646394599
2019,Charged pion condensation and duality in dense and hot chirally and isospin asymmetric quark matter in the framework of the model,"Physical Review D 100 (3), 034009, 2019","TG Khunjua, KG Klimenko, RN Zhokhov",17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2314813780230888389
2019,Charged pion condensation in dense quark matter: Nambu–Jona-Lasinio model study,"Symmetry 11 (6), 778, 2019","T Khunjua, K Klimenko, R Zhokhov",13,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4265538718263635785
