Year,Title,Journal,Authors,Cite,Source
2012,Stability improvement of a laser-accelerated electron beam and the pulse width measurement of the electron beam,"Вопросы атомной науки и техники, 2012","H Kotaki, M Mori, Y Hayashi, M Kando, I Daito, Y Fukuda, AS Pirozhkov, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:hKjooKYXoHIC
2012,Fundamental physics and relativistic laboratory astrophysics with extreme power lasers,"European Astronomical Society Publications Series 58, 7-22, 2012","TZ Esirkepov, SV Bulanov",20,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:3NQIlFlcGxIC
2011,Examining brain-cognition effects of ginkgo biloba extract: brain activation in the left temporal and left prefrontal cortex in an object working memory task,"Evidence-based complementary and alternative medicine 2011, 2011","RB Silberstein, A Pipingas, J Song, DA Camfield, PJ Nathan, C Stough",45,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:qUcmZB5y_30C
2011,Finite-size effects in pion condensation phenomena of dense baryonic matter in the NJL model,"arXiv preprint arXiv:1106.2928, 2011","D Ebert, TG Khunjua, KG Klimenko, VC Zhukovsky",,https://scholar.google.com
2011,Laser-driven proton generation with a thin-foil target,unknown,"A Sagisaka, AS Pirozhkov, M Mori, A Yogo, K Ogura, S Orimo, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:kvJssbFybhEC
2011,"Relativistic Tennis with Photons: Frequency Up‐Shifting, Light Intensification and Ion Acceleration with Flying Mirrors","AIP Conference Proceedings 1320 (1), 235-243, 2011","SV Bulanov, TZ Esirkepov, M Kando, JK Koga, AS Pirozhkov, ...",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:PYBJJbyH-FwC
2011,"Eli-extreme light infrastructure: Science and technology with ultra-intense lasers, whitebook","THOSS Media GmbH, 2011","GA Mourou, G Korn, W Sandner, JL Collier",151,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:TTos0WgDdeoC
2011,Том. 136. X-Ray Lasers 2010-Proceedings of the 12th International Conference on X-Ray Lasers.-Сер. X-Ray Lasers 2010-Proceedings of the 12th International Conference on X-Ray …,"Development 57, 68, 2011","T Kawachi, N Hasegawa, M Nishikino, M Ishino, T Imazono, T Ohba, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:g3ofO4LfDiQC
2011,Asymmetric supersonic gas jet target for two-staged laser wake-field acceleration,unknown,"S Kajino, Y Mizuta, A Nishida, R Kodama, M Kando, H Kotaki, S Bulanov, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:QI7uKX5mnFEC
2011,Using the coulomb explosion effect of a first layer on proton acceleration,unknown,"T Morita, SV Bulanov, TZ Esirkepov, J Koga, M Kando",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=300&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Weau3kkTRIMC
